ClusterId	Gene	Transcript	Chromosome	AnnotationType	ExonRank	ExonStart	ExonEnd
1	KMT2A	ENST00000534358	chr11	FUSION	1	118436492	118436944
1	KMT2A	ENST00000534358	chr11	FUSION	2	118468775	118468844
1	KMT2A	ENST00000534358	chr11	FUSION	3	118471662	118474315
1	KMT2A	ENST00000534358	chr11	FUSION	4	118476805	118476982
1	KMT2A	ENST00000534358	chr11	FUSION	5	118477967	118478201
1	KMT2A	ENST00000534358	chr11	FUSION	6	118480174	118480238
1	KMT2A	ENST00000534358	chr11	FUSION	7	118481715	118482092
1	KMT2A	ENST00000534358	chr11	FUSION	8	118482422	118482495
1	KMT2A	ENST00000534358	chr11	FUSION	9	118484183	118484314
1	KMT2A	ENST00000534358	chr11	FUSION	10	118484862	118484975
1	KMT2A	ENST00000534358	chr11	FUSION	11	118488614	118488760
1	KMT2A	ENST00000534358	chr11	FUSION	12	118489792	118489887
1	KMT2A	ENST00000534358	chr11	FUSION	13	118490129	118490249
1	KMT2A	ENST00000534358	chr11	FUSION	14	118491196	118491318
1	KMT2A	ENST00000534358	chr11	FUSION	15	118491744	118491928
1	KMT2A	ENST00000534358	chr11	FUSION	16	118493057	118493230
1	KMT2A	ENST00000534358	chr11	FUSION	17	118494288	118494398
1	KMT2A	ENST00000534358	chr11	FUSION	18	118494694	118494767
1	KMT2A	ENST00000534358	chr11	FUSION	19	118495700	118495893
1	KMT2A	ENST00000534358	chr11	FUSION	20	118496261	118496367
1	KMT2A	ENST00000534358	chr11	FUSION	21	118497936	118498073
1	KMT2A	ENST00000534358	chr11	FUSION	22	118498370	118498528
1	KMT2A	ENST00000534358	chr11	FUSION	23	118499303	118499420
1	KMT2A	ENST00000534358	chr11	FUSION	24	118499835	118499913
1	KMT2A	ENST00000534358	chr11	FUSION	25	118500987	118501147
1	KMT2A	ENST00000534358	chr11	FUSION	26	118501672	118501857
1	KMT2A	ENST00000534358	chr11	FUSION	27	118502398	118506646
1	KMT2A	ENST00000534358	chr11	FUSION	28	118507529	118507609
1	KMT2A	ENST00000534358	chr11	FUSION	29	118509136	118509200
1	KMT2A	ENST00000534358	chr11	FUSION	30	118509948	118510118
1	KMT2A	ENST00000534358	chr11	FUSION	31	118511951	118512025
1	KMT2A	ENST00000534358	chr11	FUSION	32	118519618	118519792
1	KMT2A	ENST00000534358	chr11	FUSION	33	118519957	118520064
1	KMT2A	ENST00000534358	chr11	FUSION	34	118520802	118520885
1	KMT2A	ENST00000534358	chr11	FUSION	35	118521288	118521417
1	KMT2A	ENST00000534358	chr11	FUSION	36	118521897	118526832
1	MLLT3	ENST00000380338	chr9	FUSION	11	20341669	20346574
1	MLLT3	ENST00000380338	chr9	FUSION	10	20353525	20353596
1	MLLT3	ENST00000380338	chr9	FUSION	9	20354808	20354879
1	MLLT3	ENST00000380338	chr9	FUSION	8	20360742	20360841
1	MLLT3	ENST00000380338	chr9	FUSION	7	20363476	20363605
1	MLLT3	ENST00000380338	chr9	FUSION	6	20365669	20365744
1	MLLT3	ENST00000380338	chr9	FUSION	5	20413721	20414425
1	MLLT3	ENST00000380338	chr9	FUSION	4	20448123	20448266
1	MLLT3	ENST00000380338	chr9	FUSION	3	20456704	20456786
1	MLLT3	ENST00000380338	chr9	FUSION	2	20620654	20620834
1	MLLT3	ENST00000380338	chr9	FUSION	1	20622245	20622499
