Chromosome	Start	End	CopyNumber	BAF
chr9	1	20414426	1.9692	0.5078
chr9	20414427	20415000	0.9912	1.0000
chr9	20415001	44377362	1.9709	0.5082
chr9	44377363	138394717	2.0374	0.5091
chr7	1	59498943	1.9680	0.5081
chr7	59498944	159345973	1.9713	0.5073
chr8	1	44955504	1.9917	0.5021
chr8	44955505	145138636	1.9750	0.5094
chrX	1	60509060	2.0554	0.5135
chrX	60509061	156040895	2.0248	0.5077
chr5	1	48272853	1.9951	0.5073
chr5	48272854	181538259	1.9661	0.5086
chr6	1	59191910	1.9659	0.5000
chr6	59191911	170805979	1.9890	0.5034
chr3	1	92214015	2.0143	0.5035
chr3	92214016	198295559	2.0080	0.5070
chr10	1	40640101	1.9953	0.5125
chr10	40640102	133797422	2.0265	0.5065
chr21	1	11890183	1.9939	0.5024
chr21	11890184	46709983	1.9939	0.5024
chr4	1	50726025	2.0903	0.5216
chr4	50726026	190214555	2.0191	0.5047
chr11	1	52751710	2.0000	0.5000
chr11	52751711	118484974	2.0237	0.5058
chr11	118484975	118485000	1.0457	0.9563
chr11	118485001	135086622	2.0253	0.5062
chr22	1	14004552	1.9453	0.5141
chr22	14004553	50818468	1.9453	0.5141
chr1	1	123605522	1.9764	0.5000
chr1	123605523	248956422	1.9816	0.5037
chr12	1	35977329	1.9715	0.5000
chr12	35977330	133275309	1.9761	0.5072
chr2	1	93139350	2.0432	0.5108
chr2	93139351	242193529	2.0248	0.5061
chr13	1	17025623	1.9833	0.5075
chr13	17025624	114364328	1.9833	0.5075
chr20	1	28237289	1.9724	0.5071
chr20	28237290	64444167	1.9695	0.5077
chr18	1	18161052	2.0000	0.5026
chr18	18161053	80373285	2.0137	0.5008
chr19	1	25844926	2.0000	0.6135
chr19	25844927	29815664	1.7730	0.5640
chr19	29815665	58617616	2.0450	0.5110
chr14	1	17086761	1.9626	0.5095
chr14	17086762	107043718	1.9626	0.5095
chr15	1	18362626	2.0122	0.5027
chr15	18362627	101991189	2.0122	0.5027
chr16	1	37295919	2.0138	0.5022
chr16	37295920	90338345	1.9884	0.5052
chr17	1	24849829	1.9956	0.5011
chr17	24849830	83257441	1.9949	0.5059
